id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
4404701;DEPARTAMENTO;45000;2023-07-21;;45.0;;1.0;1.0;;GENERAL PAZ;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/departamentos/4404701/barrio-gral-paz-hermoso-departamento-1-dormitorio-en-ovidio-lagos-140
4401975;CASA;188000;2023-07-17;;405.0;200.0;3.0;;;URCA;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4401975/venta-urca-tres-dormitorios-arruabarrena-1279
5039966;CASA;180000;2023-07-22;;380.0;200.0;3.0;;;COMARCA DE ALLENDE;VILLA ALLENDE;;;False;https://clasificados.lavoz.com.ar/avisos/casas/5039966/casa-a-venta-en-una-planta-en-barrio-cerrado-comarca-de-allende
5062998;DEPARTAMENTO;120000;2023-07-22;;100.0;;2.0;2.0;1.0;DON BOSCO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/departamentos/5062998/departamento-a-venta-en-cordoba-%E2%80%93-zona-tropezon
4467630;CASA;90000;2023-07-22;;250.0;120.0;3.0;1.0;2.0;ARGUELLO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4467630/casa-a-venta-en-quintas-de-arguello
5016512;CASA;300000;2023-07-22;;2050.0;400.0;3.0;3.0;2.0;OTRO;MENDIOLAZA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/5016512/casa-a-venta-en-barrio-valle-del-sol-mendiolaza
4646236;TERRENOS LOTES;20000;2023-07-22;;1000.0;;;;;;AGUA DE ORO;;;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4646236/lotes-a-venta-en-loteo-villa-rosal-%E2%80%93-agua-de-oro
4875416;DUPLEX;75000;2023-07-22;;180.0;90.0;2.0;1.0;1.0;;UNQUILLO;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4875416/duplex-a-venta-en-unquillo-estilo-colonial
4592619;CASA;600000;2023-07-22;;4000.0;6000.0;4.0;;;VILLA SAN CARLOS;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4592619/housing-5-inmuebles-con-renta-us-600000
4452714;CASA;75000;2023-07-22;;120.0;;3.0;2.0;1.0;;UNQUILLO;-31.40874;-64.14608;False;https://clasificados.lavoz.com.ar/avisos/casas/4452714/casa-3-dormitorios-unquillo-us-75000
5094780;CASA;15500;2023-07-22;;54.0;;1.0;;;CENTRO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/5094780/vendo-plan-regam-pilay-sin-adjudicar-57-pago
4410388;CASA;139000;2023-07-22;;400.0;;4.0;;;PUEYRREDON;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4410388/casa-pueyrredon-inversor-139000
4776169;TERRENOS LOTES;37500;2023-07-22;;258.0;;;;;MANANTIALES;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4776169/terreno-quebrada-de-manantiales-us-37500
4410391;LOCAL;260000;2023-07-22;;150.0;250.0;;2.0;;SAN MARTIN;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/local/4410391/local-comercialesquina-uss-29000
4807927;TERRENOS LOTES;110000;2023-07-22;;812.0;;;;;VILLA BELGRANO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4807927/terreno-villa-belgrano-us-110000
4272607;CASA;100000;2023-07-22;;200.0;155.0;3.0;1.0;1.0;ALTA CORDOBA;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4272607/casa-3-dormitorios-b%C2%B0-alta-cordoba-us-100000
4461320;DUPLEX;105000;2023-07-22;;100.0;80.0;2.0;1.0;;BAJO PALERMO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4461320/duplex-2-dormitorios-bajo-palermo-us-10500
2815003;TERRENOS LOTES;175000;2023-07-22;;400.0;;;;;PUEYRREDON;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/2815003/terreno-b%C2%B0-pueyrredon-400-m2-10-x-40.html
4946444;CASA;135000;2023-07-22;;445.0;200.0;3.0;2.0;;;UNQUILLO;-31.245041;-64.302753;False;https://clasificados.lavoz.com.ar/avisos/casas/4946444/vendo-casa-tres-dormitorios-unquillo
4624247;CASA;35000;2023-07-22;;240.0;197.0;2.0;1.0;1.0;ALTO GENERAL PAZ;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4624247/casa-2-dormitorios-alto-general-paz-us-40000
4900404;CASA;35000;2023-07-22;;473.0;55.0;1.0;1.0;;;VILLA DE SOTO;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4900404/casa-villa-de-soto-oportiunidad-us-35000
5094764;TERRENOS LOTES;30000;2023-07-22;;480.0;;;;;;MALAGUENO;-31.482388;-64.415001;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5094764/dueno-vende-lote-valle-del-golf
3123668;CASA;128000;2023-07-22;;1000.0;162.0;3.0;2.0;1.0;;CAPILLA DEL MONTE;;;False;https://clasificados.lavoz.com.ar/avisos/casas/3123668/capilla-monte-casa-integramente-piedra.html
5094769;DEPARTAMENTO;63000;2023-07-22;;44.0;;1.0;1.0;;NUEVA CORDOBA;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/departamentos/5094769/venta-depto-1-dorm-nueva-cordoba-patio-olmos
5094754;GALPONES DEPOSITOS;425000;2023-07-22;;13500.0;670.0;;;;;LAS RABONAS;-31.87198;-64.977239;False;https://clasificados.lavoz.com.ar/avisos/galpones-depositos/5094754/rabonas-traslasierra-complejo-de-6-cabanas-escritura
5094747;CASA;210000;2023-07-22;;264.0;165.0;3.0;3.0;1.0;AYACUCHO;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/5094747/dueno-vende-casa-con-dpto-interno
4864173;CASA;35000;2023-07-22;;450.0;80.0;2.0;1.0;;;VILLA CARLOS PAZ;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4864173/barrio-quinta
4878530;DEPARTAMENTO;132000;2023-07-22;;140.0;;3.0;2.0;1.0;ALBERDI;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/departamentos/4878530/vendo-departamento-excelente
5094734;CASA;240000;2023-07-22;;357.0;301.0;3.0;;;URCA;CORDOBA;-31.383736;-64.235097;False;https://clasificados.lavoz.com.ar/avisos/casas/5094734/venta-casa-urca-av-menendez-pidal-apta-comercial-familiar-3-dormitorios-exce
4571350;GALPONES DEPOSITOS;75000;2023-07-22;;750.0;320.0;;;;;VILLA CARLOS PAZ;;;False;https://clasificados.lavoz.com.ar/avisos/galpones-depositos/4571350/casa-mas-galpon-en-carlos-paz
5058255;CASA;115000;2023-07-22;;300.0;330.0;4.0;2.0;2.0;SAN FERNANDO;CORDOBA;-31.452869;-64.192524;False;https://clasificados.lavoz.com.ar/avisos/casas/5058255/dueno-vende-casa-y-dpto
5094777;CASA;48000;2023-07-22;;747.0;143.0;3.0;1.0;;LOMAS SUR;VILLA ALLENDE;;;False;https://clasificados.lavoz.com.ar/avisos/casas/5094777/venta-de-lote-mas-edificacion-existente-en-b%C2%B0-villa-allende-lomas-sur
4803599;TERRENOS LOTES;11000;2023-07-22;;800.0;;;;;;VILLA CARLOS PAZ;;;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4803599/estancia-vieja
5094725;CASA;60000;2023-07-22;;340.0;189.0;3.0;2.0;1.0;TALLERES ESTE;CORDOBA;-31.392044;-64.151971;False;https://clasificados.lavoz.com.ar/avisos/casas/5094725/liquidovendo-casa-en-b-talleres-este
3398063;CASA;68000;2023-07-22;;96.0;96.0;2.0;1.0;1.0;;VILLA SANTA CRUZ DEL LAGO;;;False;https://clasificados.lavoz.com.ar/avisos/casas/3398063/villa-santa-cruz-lago-ph-estrenar.html
2879140;TERRENOS LOTES;10000;2023-07-22;;923.0;;;;;;VILLA SANTA CRUZ DEL LAGO;-31.372204;-64.515664;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/2879140/lote-financiado.html
