id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
52131238;DEPARTAMENTO;65000;2023-08-08;INMOBILIARIA;40.0;40.0;1.0;1.0;-1.0;ALBERDI;CORDOBA;-31.4069642;-64.1970082;False;https://www.zonaprop.com.ar/propiedades/departamento-alberdi-52131238.html
52132267;CASA;270000;2023-08-08;INMOBILIARIA;2430.0;330.0;3.0;3.0;4.0;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.2781649;-64.2823214;False;https://www.zonaprop.com.ar/propiedades/casa-en-venta-villa-allende-golf-52132267.html
52133359;DEPARTAMENTO;90000;2023-08-08;INMOBILIARIA;112000.0;92.0;2.0;2.0;1.0;ALBERDI;CORDOBA;-31.4066146;-64.2065756;False;https://www.zonaprop.com.ar/propiedades/departamento-de-2-dorm.-con-amenities-y-cochera-en-av-52133359.html
52160198;CASA;99000;2023-08-14;INMOBILIARIA;240.0;142.0;3.0;1.0;-1.0;CRISOL;CORDOBA;-31.4369361;-64.1677644;False;https://www.zonaprop.com.ar/propiedades/reciclada-nueva-excelente-ubicacion-52160198.html
52158429;DEPARTAMENTO;395000;2023-08-14;INMOBILIARIA;191.0;191.0;2.0;2.0;2.0;VILLA BELGRANO;CORDOBA;-31.3585457;-64.2416659;False;https://www.zonaprop.com.ar/propiedades/departamento-planta-baja-con-patio-en-condominio-52158429.html
52157073;CASA;95000;2023-08-14;PARTICULAR;336.0;130.0;3.0;2.0;1.0;BAJO PALERMO;CORDOBA;-31.3859133;-64.2219203;False;https://www.zonaprop.com.ar/propiedades/casa-3-dorm-apto-credito-cochera-gran-patio-b-52157073.html
52156947;DEPARTAMENTO;80000;2023-08-13;PARTICULAR;45.0;45.0;1.0;1.0;1.0;VILLA DOMINGUEZ;VILLA CARLOS PAZ;-31.4207828;-64.4992141;False;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-un-dormitorio-con-cochera-y-52156947.html
52132329;TERRENOS;23000;2023-08-08;INMOBILIARIA;360.0;-1.0;-1.0;-1.0;-1.0;DOCTA;CORDOBA;-31.4694795548;-64.3090114399;False;https://www.zonaprop.com.ar/propiedades/terreno-docta-parque-52132329.html
52158335;CASA;40000;2023-08-14;INMOBILIARIA;177.0;79.0;3.0;1.0;1.0;ALTO ALBERDI;CORDOBA;-31.41276932;-64.22226715;False;https://www.zonaprop.com.ar/propiedades/vendo-casa-alto-alberdi-tres-dorm.-52158335.html
52132031;DEPARTAMENTO;53000;2023-08-08;INMOBILIARIA;40.0;40.0;1.0;1.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4277917;-64.1879737;False;https://www.zonaprop.com.ar/propiedades/venta-depto.-av-estrada-pleno-nueva-cordoba-1-52132031.html
52159623;DEPARTAMENTO;52000;2023-08-14;INMOBILIARIA;16.0;16.0;1.0;1.0;-1.0;VILLA SIBURU;CORDOBA;-31.3946431;-64.2344366;False;https://www.zonaprop.com.ar/propiedades/amoblado-con-excelente-renta-terra-forte-52159623.html
52132991;DEPARTAMENTO;122000;2023-08-08;INMOBILIARIA;65.0;65.0;2.0;2.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4233869;-64.1903616;False;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-de-2-dorm.-con-balcon-52132991.html
52130545;DEPARTAMENTO;40000;2023-08-08;INMOBILIARIA;42.0;42.0;1.0;1.0;-1.0;ALTO ALBERDI;CORDOBA;-31.403752;-64.2229963;False;https://www.zonaprop.com.ar/propiedades/oportunidad-departamento-en-1-dormitorio-52130545.html
52133888;DEPARTAMENTO;25000;2023-08-08;INMOBILIARIA;32.0;32.0;-1.0;1.0;-1.0;CENTRO;CORDOBA;-38.9516784;-68.0591888;False;https://www.zonaprop.com.ar/propiedades/-vendo-exc-monoambiente-amoblado-al-frente-de-h.-52133888.html
52161000;DEPARTAMENTO;35000;2023-08-14;INMOBILIARIA;42.0;40.0;1.0;1.0;-1.0;CENTRO;CORDOBA;-31.41319219999999;-64.1856698;False;https://www.zonaprop.com.ar/propiedades/pleno-centro-venta-1-dormitorio-escritura-52161000.html
52130430;CASA;198000;2023-08-08;INMOBILIARIA;360.0;180.0;3.0;2.0;2.0;MANANTIALES;CORDOBA;-31.4481048;-64.2248022;False;https://www.zonaprop.com.ar/propiedades/venta-manantiales-casa-3-dorm.-52130430.html
52132557;DEPARTAMENTO;22000;2023-08-08;INMOBILIARIA;27.0;21.0;1.0;1.0;-1.0;ALBERDI;CORDOBA;-31.4068615;-64.2000087;False;https://www.zonaprop.com.ar/propiedades/departamento-sobre-av-santa-fe-y-santa-rosa-con-patio-52132557.html
52157147;CASA;535000;2023-08-14;INMOBILIARIA;4800.0;540.0;4.0;4.0;4.0;COLON;CORDOBA;-31.2424152;-64.2543019;False;https://www.zonaprop.com.ar/propiedades/venta-casa-b-las-corzuelas-unquillo-52157147.html
52132176;CASA;165000;2023-08-08;INMOBILIARIA;342.0;159.0;3.0;3.0;-1.0;CERRO DE LAS ROSAS;CORDOBA;-31.383446;-64.2448569;False;https://www.zonaprop.com.ar/propiedades/donaciano-del-campillo-800-casa-3-dorm.-pileta-52132176.html
52131723;TERRENOS;14000;2023-08-08;INMOBILIARIA;260.0;-1.0;-1.0;-1.0;-1.0;VALLE CERCANO;CORDOBA;-31.4862143;-64.2248743;False;https://www.zonaprop.com.ar/propiedades/lote-en-venta-valle-cercano-260-m-sup2-52131723.html
52134097;CASA;68000;2023-08-08;INMOBILIARIA;400.0;166.0;3.0;2.0;1.0;ALTO ALBERDI;CORDOBA;-31.3983611;-64.2158592;False;https://www.zonaprop.com.ar/propiedades/alto-alberdi.-apto-bancor-casa-3-dorm.-mas-dpto.-52134097.html
52157431;DEPARTAMENTO;85000;2023-08-14;INMOBILIARIA;90.0;70.0;2.0;2.0;2.0;CENTRO;VILLA CARLOS PAZ;-31.4172339;-64.4896212;False;https://www.zonaprop.com.ar/propiedades/departamento-2-dorm.-2-banos-cochera-pileta-52157431.html
52132303;DEPARTAMENTO;67000;2023-08-08;INMOBILIARIA;50.0;45.0;1.0;1.0;-1.0;CENTRO;CORDOBA;-31.4200321;-64.1905816;False;https://www.zonaprop.com.ar/propiedades/venta-dpto-1-dorm-zona-centro-52132303.html
52157226;PH;135000;2023-08-14;INMOBILIARIA;180.0;140.0;3.0;3.0;2.0;CHACRA DEL NORTE;CORDOBA;-31.3516682;-64.2237552;False;https://www.zonaprop.com.ar/propiedades/venta-duplex-chacra-del-norte-2-zona-norte-52157226.html
52136666;CASA;110000;2023-08-08;PARTICULAR;140.0;128.0;3.0;1.0;2.0;LOMAS DEL CHATEAU;CORDOBA;-31.390579168146505;-64.25697931083067;False;https://www.zonaprop.com.ar/propiedades/vendo-apto-credito-aprobado-duplex-3-dorm.-lomas-del-52136666.html
52130670;TERRENOS;55000;2023-08-08;INMOBILIARIA;1000.0;-1.0;-1.0;-1.0;-1.0;LA CERCANIA;MENDIOLAZA;-31.25714491752468;-64.25247482513427;False;https://www.zonaprop.com.ar/propiedades/lote-en-venta-en-la-cercania-barrio-cerrado-mendiolaza-52130670.html
52130545;DEPARTAMENTO;40000;2023-08-08;INMOBILIARIA;42.0;42.0;1.0;1.0;-1.0;ALTO ALBERDI;CORDOBA;-31.403752;-64.2229963;False;https://www.zonaprop.com.ar/propiedades/oportunidad-departamento-en-1-dormitorio-52130545.html
52157126;PH;116000;2023-08-14;INMOBILIARIA;128.0;128.0;3.0;2.0;1.0;MIRADORES DE MANANTIALES;CORDOBA;-31.454598;-64.2446772;False;https://www.zonaprop.com.ar/propiedades/venta-de-duplex-miradores-de-manantiales-ii-pegado-52157126.html
52132173;CASA;150000;2023-08-08;PARTICULAR;1800.0;240.0;4.0;4.0;4.0;LOS ESPINILLOS;POTRERO DE GARAY;-31.77281761;-64.53840637;False;https://www.zonaprop.com.ar/propiedades/complejo-de-cabanas-en-venta-en-potrero-de-garay-52132173.html
52157209;PH;195000;2023-08-14;INMOBILIARIA;180.0;180.0;3.0;2.0;2.0;VENTA - DUPLEX CATEGORIA - Bdeg CANUELAS CHICO ZONA SUR;CORDOBA;-31.4763224;-64.1641363;False;https://www.zonaprop.com.ar/propiedades/venta-duplex-categoria-b-canuelas-chico-zona-sur-52157209.html
52159116;DEPARTAMENTO;75000;2023-08-14;INMOBILIARIA;51.0;51.0;1.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4150366;-64.1732923;False;https://www.zonaprop.com.ar/propiedades/venta-de-departamento-b-gral-paz-cordoba-52159116.html
52133229;DEPARTAMENTO;60000;2023-08-08;INMOBILIARIA;45.0;42.0;1.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4126562;-64.1703613;False;https://www.zonaprop.com.ar/propiedades/departamentos-a-estrenar-en-gral-paz-a-la-venta-52133229.html
52157601;CASA;270000;2023-08-14;INMOBILIARIA;657.0;250.0;4.0;3.0;2.0;CASA EN VENTA EN TEJAS TRES. TERRENO DE 657 M2, 4 DORM., PILETA Y GRAN JARDIN;CORDOBA;-31.4119314;-64.1793582;False;https://www.zonaprop.com.ar/propiedades/casa-en-venta-en-tejas-tres.-terreno-de-657-m-sup2--4-52157601.html
52158362;CASA;160000;2023-08-14;INMOBILIARIA;225.0;190.0;3.0;4.0;2.0;MANANTIALES;CORDOBA;-31.4570152;-64.2381063;False;https://www.zonaprop.com.ar/propiedades/casa-manantiales-52158362.html
52157413;CASA;1290000;2023-08-14;INMOBILIARIA;2270.0;540.0;4.0;4.0;2.0;JOCKEY CLUB;CORDOBA;-31.4543172;-64.1866111;False;https://www.zonaprop.com.ar/propiedades/venta!-casa-country-jockey-club!-2-lotes!-52157413.html
52130457;DEPARTAMENTO;125000;2023-08-08;INMOBILIARIA;138.0;130.0;3.0;1.0;-1.0;CENTRO;CORDOBA;-31.4115334;-64.1905746;False;https://www.zonaprop.com.ar/propiedades/departamento-3-dorm.-y-dependencia-de-servicio-52130457.html
52157771;DEPARTAMENTO;95000;2023-08-14;INMOBILIARIA;70.0;67.0;2.0;2.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4251012;-64.1837089;False;https://www.zonaprop.com.ar/propiedades/se-vende:-departamento-de-dos-dorm.-sobre-blvd.-52157771.html
52130457;DEPARTAMENTO;125000;2023-08-08;INMOBILIARIA;138.0;130.0;3.0;1.0;-1.0;CENTRO;CORDOBA;-31.4115334;-64.1905746;False;https://www.zonaprop.com.ar/propiedades/departamento-3-dorm.-y-dependencia-de-servicio-52130457.html
52127969;CASA;80000;2023-08-08;INMOBILIARIA;300.0;92.0;2.0;2.0;-1.0;PARQUE VELEZ SARSFIELD;CORDOBA;-31.43884666880679;-64.20808906878662;False;https://www.zonaprop.com.ar/propiedades/hermosa-casa-a-estrenar-en-zona-parque-velez-52127969.html
52132298;CASA;32000;2023-08-08;INMOBILIARIA;236.0;-1.0;2.0;1.0;-1.0;PATRICIOS;CORDOBA;-31.3759736;-64.136961;False;https://www.zonaprop.com.ar/propiedades/venta-de-casa-2-dorm-en-barrio-patricios-cordoba-52132298.html
52130843;DEPARTAMENTO;70000;2023-08-08;INMOBILIARIA;42.0;42.0;1.0;1.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4314945;-64.1925365;False;https://www.zonaprop.com.ar/propiedades/oportunidad-departamento-de-1-dormitorio-con-balcon-52130843.html
52130844;PH;80000;2023-08-08;INMOBILIARIA;130.0;110.0;3.0;1.0;1.0;INAUDI;CORDOBA;-31.4750764;-64.1939081;False;https://www.zonaprop.com.ar/propiedades/venta-duplex-complejo-cruz-del-sur-b-inaudi-52130844.html
52136210;CASA;290000;2023-08-08;INMOBILIARIA;430.0;230.0;4.0;3.0;-1.0;CHACRA DEL NORTE;CORDOBA;-31.350319861713647;-64.21551136662595;False;https://www.zonaprop.com.ar/propiedades/casa-chacra-del-norte.-a-estrenar.-excelente-52136210.html
52132091;CASA;111111;2023-08-08;INMOBILIARIA;202.0;180.0;-1.0;3.0;-1.0;VILLA WARCALDE;CORDOBA;-31.3377516;-64.2981435;False;https://www.zonaprop.com.ar/propiedades/casa-en-complejo-villa-warcalde-28-52132091.html
52157181;DEPARTAMENTO;63000;2023-08-14;INMOBILIARIA;40.0;36.0;1.0;1.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4285855;-64.1848524;False;https://www.zonaprop.com.ar/propiedades/dpto-1-dorm-balcon-crisol-y-bsas-nueva-cordoba-52157181.html
52130126;CASA;85000;2023-08-08;INMOBILIARIA;90.0;115.0;2.0;2.0;1.0;QUEBRADA DE LAS ROSAS;CORDOBA;-31.3928706;-64.2543424;False;https://www.zonaprop.com.ar/propiedades/duplex-quebrada-de-las-rosas-apto-credito-52130126.html
52157318;PH;120000;2023-08-14;INMOBILIARIA;223.0;180.0;3.0;2.0;1.0;NUEVO POETA LUGONES;CORDOBA;-31.358149;-64.2119798;False;https://www.zonaprop.com.ar/propiedades/duplex-en-venta-nuevo-poeta-lugones-52157318.html
