id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
4851205;TERRENO;28000;2023-11-01;VML SERVICIOS INMOBILIARIOS;266.0;;;;;INAUDI;CORDOBA;-31.479555;-64.191985;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4851205/excelente-ubicacion-ampliacion-inaudi-lote-en-venta
5135371;DEPARTAMENTO;172500;2023-11-01;COSTAPROP;152.0;;2.0;2.0;1.0;MANANTIALES;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5135371/sureno-ii-2-dorm-cochera-terraza-3er-piso-a-estilo-casonas
5135426;DEPARTAMENTO;35000;2023-11-01;TERRANA INMUEBLES;63.0;;3.0;;;SAN VICENTE;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5135426/amplio-departamento-en-zona-residencial-tranquila
5135394;DEPARTAMENTO;147500;2023-11-01;COSTAPROP;149.0;;2.0;2.0;1.0;MANANTIALES;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5135394/sureno-ii-depto-2-dorm-cochera-1er-piso-h-estilo-casonas
3738984;CASA;58500;2023-11-01;LUCIANO LUTRI INMUEBLES;345.0;232.0;3.0;3.0;1.0;JOSE HERNANDEZ;CORDOBA;-31.44407;-64.157651;https://clasificados.lavoz.com.ar/avisos/casas/3738984/casa-4-dorm-2-banos-mas-depto-independiente-escritura.html
3977291;DEPARTAMENTO;42900;2023-11-01;ROCA BIENES RAICES;49.0;;1.0;;1.0;COFICO;CORDOBA;-31.3973;-64.189538;https://clasificados.lavoz.com.ar/avisos/departamentos/3977291/cofico-premium-balcones-de-cofico-iv-dptos-1-2-y-3-dorm.html
4157272;CASA;164000;2023-11-01;LUCIANO LUTRI INMUEBLES;1200.0;280.0;3.0;3.0;2.0;OTRO;MENDIOLAZA;-31.262232;-64.313076;https://clasificados.lavoz.com.ar/avisos/casas/4157272/impresionante-vista-3-dorm-3-banos-pileta.html
3923221;CASA;90000;2023-11-01;GUSTAVO CALICIOTTI NEGOCIOS INMOBILIARIOS;384.0;200.0;3.0;2.0;2.0;;SALSIPUEDES;;;https://clasificados.lavoz.com.ar/avisos/casas/3923221/excelente-inmuble-en-salsipuedes.html
4072418;CASA;135000;2023-11-01;FERNANDEZ PRATAVIERA & ASOC;140.0;;3.0;;;GUEMES;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/4072418/excelente-casa-en-alquiler-colinas-del-cerro.html
4264581;DEPARTAMENTO;20000;2023-11-01;MARCO MUSSO INMOBILIARIA.;1.0;;1.0;1.0;;GUEMES;CORDOBA;-31.419017;-64.196819;https://clasificados.lavoz.com.ar/avisos/departamentos/4264581/montevideo-772-depto-1-dorm-con-balcon-us25000-gastos-bajos
4072144;DEPARTAMENTO;62000;2023-11-01;BIANCHINI PROPIEDADES;60.0;;1.0;1.0;;GENERAL PAZ;CORDOBA;-31.416776;-64.170003;https://clasificados.lavoz.com.ar/avisos/departamentos/4072144/departamento-de-1-dormitorio-y-2-patios.html
4152707;CASA;380000;2023-11-01;BIANCHINI PROPIEDADES;2300.0;410.0;3.0;3.0;2.0;CHACRAS DE LA VILLA;VILLA ALLENDE;-31.298576;-64.236288;https://clasificados.lavoz.com.ar/avisos/casas/4152707/chacras-de-villa-3-dormitorios-recibo-menor.html
3979148;DEPARTAMENTO;84000;2023-11-01;LUCIANO LUTRI INMUEBLES;44.0;;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.429637;-64.192692;https://clasificados.lavoz.com.ar/avisos/departamentos/3979148/velez-sarsfield-1251-b%C2%BA-nva-cordoba-depto-de-1-y-2-dormitorios.html
4129758;CASA;155000;2023-11-01;GABRIEL CHAMME BIENES INMUEBLES;3100.0;120.0;1.0;1.0;;;LA CUMBRECITA;;;https://clasificados.lavoz.com.ar/avisos/casas/4129758/cumbrecita-cabanas-en-venta.html
