id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
1390161131;CASA;170000;2023-09-26;INMOBILIARIA;359.0;200.0;3.0;3.0;;;;-31.479499;-64.2618725;https://casa.mercadolibre.com.ar/MLA-1390161131-venta-hermosa-casa-a-estrenar-en-solares-de-manantiales-_JM
1520284528;CASA;104000;2023-09-26;INMOBILIARIA;141.0;100.0;2.0;2.0;3.0;;;-31.3491474;-64.2410951;https://casa.mercadolibre.com.ar/MLA-1520284528-venta-duplex-2-dorm-y-gran-patio-granja-de-funes-_JM
1520181008;CASA;100999;2023-09-26;INMOBILIARIA;155.0;155.0;2.0;2.0;2.0;;;-31.3892483;-64.219999;https://casa.mercadolibre.com.ar/MLA-1520181008-casa-en-venta-en-escobar-excelente-oportunidad-_JM
1390187841;CASA;470000;2023-09-26;INMOBILIARIA;660.0;490.0;3.0;3.0;1.0;;;-31.3465511;-64.3055671;https://casa.mercadolibre.com.ar/MLA-1390187841-venta-casa-3-dorm-el-bosque-country-_JM
1520560752;CASA;740000;2023-09-26;INMOBILIARIA;1500.0;626.0;3.0;4.0;3.0;;;-31.3732015;-64.2626323;https://casa.mercadolibre.com.ar/MLA-1520560752-casa-en-venta-altos-del-chateau-_JM
1390199775;DEPARTAMENTO;65000;2023-09-26;INMOBILIARIA;69.0;55.0;2.0;1.0;1.0;;;-31.4023865;-64.4771902;https://departamento.mercadolibre.com.ar/MLA-1390199775-venta-dpto-2-dom-villa-calos-paz-_JM
1520469380;CASA;260000;2023-09-26;INMOBILIARIA;294.0;294.0;5.0;4.0;2.0;;;-31.5840925;-64.3440056;https://casa.mercadolibre.com.ar/MLA-1520469380-venta-casa-5-dorm-country-campos-del-virrey-_JM
1520258674;CASA;63000;2023-09-26;INMOBILIARIA;113.0;113.0;4.0;2.0;;;;-31.3969532;-64.2214419;https://casa.mercadolibre.com.ar/MLA-1520258674-venta-casa-3-dorm-alta-cordoba-mas-depto-1-dorm-_JM
1520572776;CASA;184900;2023-09-26;INMOBILIARIA;239.0;239.0;3.0;2.0;1.0;;;-31.7270721;-64.4121668;https://casa.mercadolibre.com.ar/MLA-1520572776-venta-casa-3-dormitorios-b-el-descanso-anisacate-_JM
1520515846;CASA;89000;2023-09-26;INMOBILIARIA;1400.0;200.0;4.0;3.0;2.0;;;;;https://casa.mercadolibre.com.ar/MLA-1520515846-venta-casa-departamento-en-carlos-paz-sierras-_JM
1520489878;DEPARTAMENTO;115000;2023-09-26;INMOBILIARIA;176.0;148.0;3.0;2.0;;;;-31.4112211;-64.1851825;https://departamento.mercadolibre.com.ar/MLA-1520489878-gvprop-vende-gran-departamento-de-3-dormitorios-reciclado-zona-centro-a-mts-de-av-gral-paz-y-av-colon-cordoba-cap-_JM
1520550798;DEPARTAMENTO;150000;2023-09-26;INMOBILIARIA;250.0;120.0;3.0;2.0;2.0;;;-31.3231867;-64.2767892;https://departamento.mercadolibre.com.ar/MLA-1520550798-b-tejas-del-sur-duplex-en-venta-_JM
1390093979;TERRENO;11000;2023-09-26;INMOBILIARIA;300.0;;;;;;;-31.2792554;-64.4636136;https://terreno.mercadolibre.com.ar/MLA-1390093979-lote-plano-sobre-calle-asfaltada-y-hermosa-vista-a-las-sierras-en-a-6-cuadras-de-rb-38-ref-1903-_JM
1390081555;TERRENO;218000;2023-09-26;INMOBILIARIA;2.0;;;;;;;-31.9867202;-64.5709319;https://terreno.mercadolibre.com.ar/MLA-1390081555-terreno-venta-15-has-buena-ubicacion-excelentes-vistas-sierras-chicas-villa-general-belgrano-_JM
1390146135;CASA;90000;2023-09-26;INMOBILIARIA;280.0;280.0;3.0;2.0;1.0;;;-31.3969627;-64.1776582;https://casa.mercadolibre.com.ar/MLA-1390146135-gvprop-vende-casa-ideal-desarrollo-en-altura-sup-t-215-mts2-zona-c3-b-alta-cba-_JM
1390228051;DEPARTAMENTO;31000;2023-09-26;INMOBILIARIA;63.0;63.0;3.0;1.0;;;;-31.4316917;-64.1428383;https://departamento.mercadolibre.com.ar/MLA-1390228051-venta-departamento-de-3-dormitorios-en-complejo-cerrado-en-san-vicente-cordoba-_JM
1390247687;DEPARTAMENTO;72000;2023-09-26;INMOBILIARIA;40.0;37.0;1.0;1.0;;;;-31.4255222;-64.1822452;https://departamento.mercadolibre.com.ar/MLA-1390247687-departamento-en-venta-nueva-cordoba-_JM
1390204313;DEPARTAMENTO;73000;2023-09-26;INMOBILIARIA;;68.0;2.0;2.0;1.0;;;-31.3992544;-64.2643841;https://departamento.mercadolibre.com.ar/MLA-1390204313-depto-sobre-chacabuco-2-dorm-_JM
1390159963;DEPARTAMENTO;88000;2023-09-26;INMOBILIARIA;50.0;50.0;1.0;1.0;1.0;;;-31.408163;-64.4789381;https://departamento.mercadolibre.com.ar/MLA-1390159963-departamento-venta-un-dormitorio-quincho-piscina-buenas-vistas-ubicacion-barrio-santa-rita-villa-carlos-paz-_JM
1520176890;TERRENO;7300;2023-09-26;INMOBILIARIA;430.0;;;;;;;;;https://terreno.mercadolibre.com.ar/MLA-1520176890-oportunidad-de-terrenos-en-venta-en-las-sierras-de-cordoba-_JM
1520258748;DEPARTAMENTO;78000;2023-09-26;INMOBILIARIA;71.0;50.0;1.0;1.0;1.0;;;-31.9776652;-64.5594102;https://departamento.mercadolibre.com.ar/MLA-1520258748-venta-departamento-villa-general-belgrano-_JM
