id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
52576740;CASA;64000;2023-10-31;RE/MAX MEDITERRÁNEA;240.0;200.0;4.0;2.0;1.0;VENTA DOS CASAS S LOTE 860 M2 Bdeg P TAB RIO CEBALLOS;RIO CEBALLOS;-31.147704153151;-64.323706626892;https://www.zonaprop.com.ar/propiedades/venta-dos-casas-s-lote-860-m-sup2--b-p-tab-rio-52576740.html
52576371;TERRENO;8000;2023-10-31;PARTICULAR;500.0;;;;;TERRENO EN ECOTIERRA (Bo ITUZAINGO);CORDOBA;-31.46160665588063;-64.07696473358487;https://www.zonaprop.com.ar/propiedades/terreno-en-ecotierra-b-ituzaingo-52576371.html
52576902;CASA;43000;2023-10-31;GRUPO BANKER INVERSIONES INMOBILIARIAS;1200.0;89.0;3.0;1.0;1.0;VENDO CASA ICHO CRUZ TRES DORM.;VILLA ICHO CRUZ;-31.48203087;-64.56938171;https://www.zonaprop.com.ar/propiedades/vendo-casa-icho-cruz-tres-dorm.-52576902.html
52576756;DEPARTAMENTO;99999;2023-10-31;REMAX BOULEVARD;89.0;79.0;3.0;2.0;1.0;POETA LUGONES;CORDOBA;-31.3546905;-64.2243035;https://www.zonaprop.com.ar/propiedades/se-vende-duplex-3-dorm.-b-poeta-lugones-52576756.html
52576887;DEPARTAMENTO;18000;2023-10-31;GRUPO BANKER INVERSIONES INMOBILIARIAS;32.0;27.0;2.0;1.0;;SAN FERNANDO;CORDOBA;-31.44942093;-64.18792725;https://www.zonaprop.com.ar/propiedades/depto-en-venta-barrio-san-fernando-oportunidad-52576887.html
52576889;TERRENO;145000;2023-10-31;GRUPO BANKER INVERSIONES INMOBILIARIAS;2810.0;;;;;VENDO LOTE DE 2200 M2 EN ZONA SUR! VILLA EUCARISTICA;CORDOBA;-31.47805405;-64.18369293;https://www.zonaprop.com.ar/propiedades/vendo-lote-de-2200-m-sup2--en-zona-sur!-villa-52576889.html
52576893;CASA;47000;2023-10-31;GRUPO BANKER INVERSIONES INMOBILIARIAS;68.0;68.0;3.0;1.0;1.0;CASA EN VENTA, ANISACATE, CORDOBA;ANISACATE;-31.69548035;-64.40947723;https://www.zonaprop.com.ar/propiedades/casa-en-venta-anisacate-cordoba-52576893.html
52575404;DEPARTAMENTO;75000;2023-10-31;PARTICULAR;95.0;75.0;2.0;1.0;;CENTRO;CORDOBA;-31.4107064;-64.1912427;https://www.zonaprop.com.ar/propiedades/departamento-amplio-de-2-dorm.-y-medio-con-terraza-en-52575404.html
52576351;CASA;70000;2023-10-31;LUCAS LIPRANDI SERVICIOS INMOBILIARIOS;2114.0;140.0;1.0;1.0;1.0;CASA A LA VENTA EN LOS COCOS;LOS COCOS;-30.9253512;-64.50132029999997;https://www.zonaprop.com.ar/propiedades/casa-a-la-venta-en-los-cocos-52576351.html
52576267;DEPARTAMENTO;75000;2023-10-31;MARULL INMOBILIARIA;45.0;45.0;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.4285855;-64.1848524;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-nueva-cordoba-1-dormitorio-52576267.html
52572179;TERRENO;10500;2023-10-31;PARTICULAR;300.0;;;;;TERRENO ESCRITURADO / LOTE SOBRE RUTA 38 CON VISTA AL URITORCO;SAN ESTEBAN;-30.92072045959856;-64.52825765609741;https://www.zonaprop.com.ar/propiedades/terreno-escriturado-lote-sobre-ruta-38-con-vista-al-52572179.html
52570784;CASA;149000;2023-10-31;REMAX PALACE;277.0;135.0;2.0;2.0;1.0;URCA;CORDOBA;-31.3845538;-64.2435205;https://www.zonaprop.com.ar/propiedades/venta-casa-urca-excelente-2-dorm.-escritorio-52570784.html
52577108;DEPARTAMENTO;75000;2023-10-31;CASAL NEGOCIOS INMOBILIARIOS;71.0;68.0;2.0;;;VENTA DEPARTAMENTO 2 DORM. - COMPLEJO VILLASOL - GAMA;CORDOBA;-31.39608149999999;-64.2445927;https://www.zonaprop.com.ar/propiedades/venta-departamento-2-dorm.-complejo-villasol-gama-52577108.html
52576734;CASA;250000;2023-10-31;INMOBILIARIA TRASLASIERRA;15000.0;180.0;2.0;2.0;2.0;MAGNIFICA PROPIEDAD CON COSTA DE ARROYO A LA VENTA EN SAN JAVIER;SAN JAVIER;-32.084217;-65.1432518;https://www.zonaprop.com.ar/propiedades/magnifica-propiedad-con-costa-de-arroyo-a-la-venta-en-52576734.html
52559931;CASA;159000;2023-10-31;PRISMA PROPIEDADES;450.0;295.0;3.0;3.0;2.0;VILLA BELGRANO;CORDOBA;-31.3635052;-64.2495033;https://www.zonaprop.com.ar/propiedades/villa-belgrano-casa-de-3-dorm.-52559931.html
52577228;DEPARTAMENTO;37000;2023-10-31;GRUPO BANKER INVERSIONES INMOBILIARIAS;47.0;47.0;1.0;1.0;;ALTO ALBERDI;CORDOBA;-31.40268707;-64.21437836;https://www.zonaprop.com.ar/propiedades/se-vende-dpto-apto-credito-52577228.html
52578005;CASA;70000;2023-10-31;LEONE ESTEVO INMOBILIARIA;558.0;160.0;2.0;1.0;2.0;CASA Y DEPARTAMENTO VILLA PARQUE SIQUIMAN;VILLA PARQUE SIQUIMAN;-31.3501358;-64.50017548;https://www.zonaprop.com.ar/propiedades/-casa-y-departamento-villa-parque-siquiman-52578005.html
