Tipo,Nombre,Tel‚fono,Direcci¢n,Barrio,Latitud,Longitud,Nombre anterior,Unidad Judicial,Tel‚fono Unidad Judicial
Comisar¡a,Comisar¡a Nø 1,(0351)  4383906 / 51 / 59,Balcarce 251,Centro,-31.42124864,-64.17707926,-,Unidad Judicial 1,(0351)  4332647
Comisar¡a,Comisar¡a Nø 2,(0351)   4337779 / 4337986,Duarte Quir¢s 3990,Las Palmas,-31.4042969,-64.2365723,-,Unidad Judicial 22,(0351) 155132815
Comisar¡a,Comisar¡a Nø 3,(0351)  4332569 / 71 / 95 / 97,Santa Rosa 1345,Alberdi,-31.4072377,-64.2010232,-,Unidad Judicial 2,(0351)  4332649/ 50
Comisar¡a,Comisar¡a Nø 4,(0351)  4333274,Av. Rep£blica de Chile  s/n,Villa Revol Anexo,-31.43436083,-64.17286619,-,Unidad Judicial 4,(0351)  4333270 / 4481016
Comisar¡a,Comisar¡a Nø 5,(0351)  4348810,Estados Unidos 2747,San Vicente,-31.42212223,-64.1485131,-,Unidad Judicial 9,(0351)  4338584
Comisar¡a,Comisar¡a Nø 6,(0351)  4339241 / 46,Av. 24 de Septiembre 1450,General Paz,-31.41329456,-64.16418955,-,Unidad Judicial 11,(0351)   4339161
Comisar¡a,Comisar¡a Nø 7,(0351)  4336180 / 86,Antonio del Viso 756,Alta C¢rdoba,-31.39323601,-64.18549279,-,Unidad Judicial 14,(0351)  4336032 / 3
Comisar¡a,Comisar¡a Nø 8,(0351)  4335288 / 92,Julio de Vedia 3250,Patricios,-31.37286192,-64.1381972,-,-,-
Comisar¡a,Comisar¡a Nø 9,(0351)  4336189,Av. Castro Barros 1285,Bajo Gal n,-31.39389113,-64.20223509,-,Unidad Judicial 15,(0351)  4336034 / 5
Comisar¡a,Comisar¡a Nø 10,(0351) 4333598 / 4334397 / 4339536,Santiago Caceres 1867,C ceres,-31.43479335,-64.19829486,-,Unidad Judicial 5,(0351)  4334504 / 5
Comisar¡a,Comisar¡a Nø 11,(0351)  4337974 / 87 / 89,Duarte Quir¢s  3242,Alto Alberdi,-31.4063385,-64.227648,-,-,-
"Comisar¡a,Comisar¡a Nø 12,ÿ(0351)ÿ 4336189 ,Taninga 2841,Residencial San Carlos,""-31.44445700213005"",-64.16614039912335, ,Unidad Judicial 7,(0351) 4481016"
Comisar¡a,Comisar¡a Nø 13, (0351)  4336184 / 85 / 92,Diag. Ica esq. Santiso y Moscoso 1250,Residencial Am‚rica,-31.38673361,-64.16214049,-,Unidad Judicial 13,(0351)  4336030
Comisar¡a,Comisar¡a Nø 14,(0351)  4864187 / 93,De los Castellanos  6002,Los Boulevares,-31.345262,-64.222043,-,-,-
Comisar¡a,Comisar¡a Nø 15,(0351)  4338120,Trist n Malbr n 4052,Cerro de las Rosas,-31.37394346,-64.23457115,-,-,-
Comisar¡a,Comisar¡a Nø 16,(0351) 4348866,San Garc¡a de Sequeira 543,Ferreyra,-31.4636374,-64.1135207,-,-,-
Comisar¡a,Comisar¡a Nø 17,(0351) 4332890 / 92 / 95,Av. Juan B. Justo 6900,Liceo General Paz,-31.3376278,-64.1760734,-,Unidad Judicial 17,(0351)  4332810
Comisar¡a,Comisar¡a Nø 18,(0351)  4333575 / 76,Carmelo Ibarra 1250,Villa Libertador,-31.4716996,-64.2204789,-,Unidad Judicial 3, (0351)  4333400 / 01 / 351-155297321
Comisar¡a,Comisar¡a Nø 19,(0351)  4333522 / 28 / 89,Gilardo Gilardi 1451,Los Naranjos,-31.4265009,-64.2220239,-,Unidad Judicial 21,(0351)  4333403 / 4
Comisar¡a,Comisar¡a Nø 20,(0351)  4333529,Lagunilla 3297,Matienzo,-31.43699445,-64.23195963,-,Unidad Judicial 6,(0351)  4333527 / 351-155297346
Comisar¡a,Comisar¡a Nø 21,(0351)  4338700 / 14,Andalgal  4799,Empalme,-31.4383603,-64.1247343,-,Unidad Judicial 10,-
Comisar¡a,Comisar¡a Nø 22,(0351)  4335281 /83 / 96,Blvd. L. Su rez de Figueroa 550,Marques de Sobremonte,-31.3624931,-64.19553162,-,Unidad Judicial 16,(0351) 4335140 /1
Comisar¡a,Comisar¡a Nø 27,(0351) 4337807 / 08,Cayetano Silva 1050,Alto Alberdi,-31.39454877,-64.21591272,Comisar¡a 11ø BIS,-,-
"Comisar¡a,Comisar¡a Nø 28,(0351) 4348125,""Puente 15, Av. C rcano s/n"",Parque Kempes,-31.37256682,-64.2500894,Comisar¡a 2ø BIS,-,-"
Comisar¡a,Comisar¡a Nø 29,(0351) 4858861 / 62,Mariano Rosas 5650,Parque Rep£blica,-31.4151875,-64.25976927,Comisar¡a 19ø BIS,-,-
Comisar¡a,Comisar¡a Nø 30,(0351) 4333578,Villa Mar¡a 6081,Comercial,-31.48434714,-64.21146022,Comisar¡a 18ø BIS,-,-
Comisar¡a,Comisar¡a Nø 31,(0351) 157028695,Cabo Principal Carlos Cuevas 600,Inaudi,-31.47252693,-64.19200417,Comisar¡a 4ø BIS,-,-
Comisar¡a,Comisar¡a Nø 32,(0351) 4348654,Monteagudo 3360,Mller,-31.41099846,-64.1394691,Comisar¡a 5ø BIS,-,-
