Tipo,Nombre,Telfono,Direccin,Barrio,Latitud,Longitud,Nombre anterior,Unidad Judicial,Telfono Unidad Judicial,geometry
Comisara,Comisara N 1,(0351)  4383906 / 51 / 59,Balcarce 251,Centro,-31.42124864,-64.17707926,-,Unidad Judicial 1,(0351)  4332647,POINT (-64.17707926 -31.42124864)
Comisara,Comisara N 2,(0351)   4337779 / 4337986,Duarte Quirs 3990,Las Palmas,-31.4042969,-64.2365723,-,Unidad Judicial 22,(0351) 155132815,POINT (-64.2365723 -31.4042969)
Comisara,Comisara N 3,(0351)  4332569 / 71 / 95 / 97,Santa Rosa 1345,Alberdi,-31.4072377,-64.2010232,-,Unidad Judicial 2,(0351)  4332649/ 50,POINT (-64.2010232 -31.4072377)
Comisara,Comisara N 4,(0351)  4333274,Av. Repblica de Chile  s/n,Villa Revol Anexo,-31.43436083,-64.17286619,-,Unidad Judicial 4,(0351)  4333270 / 4481016,POINT (-64.17286619 -31.43436083)
Comisara,Comisara N 5,(0351)  4348810,Estados Unidos 2747,San Vicente,-31.42212223,-64.1485131,-,Unidad Judicial 9,(0351)  4338584,POINT (-64.1485131 -31.42212223)
Comisara,Comisara N 6,(0351)  4339241 / 46,Av. 24 de Septiembre 1450,General Paz,-31.41329456,-64.16418955,-,Unidad Judicial 11,(0351)   4339161,POINT (-64.16418955 -31.41329456)
Comisara,Comisara N 7,(0351)  4336180 / 86,Antonio del Viso 756,Alta Crdoba,-31.39323601,-64.18549279,-,Unidad Judicial 14,(0351)  4336032 / 3,POINT (-64.18549279 -31.39323601)
Comisara,Comisara N 8,(0351)  4335288 / 92,Julio de Vedia 3250,Patricios,-31.37286192,-64.1381972,-,-,-,POINT (-64.1381972 -31.37286192)
Comisara,Comisara N 9,(0351)  4336189,Av. Castro Barros 1285,Bajo Galn,-31.39389113,-64.20223509,-,Unidad Judicial 15,(0351)  4336034 / 5,POINT (-64.20223509 -31.39389113)
Comisara,Comisara N 10,(0351) 4333598 / 4334397 / 4339536,Santiago Caceres 1867,Cceres,-31.43479335,-64.19829486,-,Unidad Judicial 5,(0351)  4334504 / 5,POINT (-64.19829486 -31.43479335)
Comisara,Comisara N 11,(0351)  4337974 / 87 / 89,Duarte Quirs  3242,Alto Alberdi,-31.4063385,-64.227648,-,-,-,POINT (-64.227648 -31.4063385)
"Comisara,Comisara N 12,(0351) 4336189 ,Taninga 2841,Residencial San Carlos,""-31.44445700213005"",-64.16614039912335, ,Unidad Judicial 7,(0351) 4481016",,,,,,,,,,POINT EMPTY
Comisara,Comisara N 13, (0351)  4336184 / 85 / 92,Diag. Ica esq. Santiso y Moscoso 1250,Residencial Amrica,-31.38673361,-64.16214049,-,Unidad Judicial 13,(0351)  4336030,POINT (-64.16214049 -31.38673361)
Comisara,Comisara N 14,(0351)  4864187 / 93,De los Castellanos  6002,Los Boulevares,-31.345262,-64.222043,-,-,-,POINT (-64.222043 -31.345262)
Comisara,Comisara N 15,(0351)  4338120,Tristn Malbrn 4052,Cerro de las Rosas,-31.37394346,-64.23457115,-,-,-,POINT (-64.23457115 -31.37394346)
