nombre,descripcion,Latitud,Longitud
1M04 - 1 de Mayo (Parada),Junin 5000 Junin 5000 Entorno: 30 mts. Curso:2681M04,-31.429736,-64.12113
1M14 - 1 de Mayo (Parada),Medrano 4900 Medrano 4900 Entorno: 20 mts. Curso:2681M14,-31.435353,-64.122791
1M08 - 1 de Mayo (Parada),Medrano 5234  Entorno: 15 mts. Curso:901M08,-31.435311,-64.118676
1M05 - 1 de Mayo (Parada),Medrano 4900 Medrano 4900 Entorno: 20 mts. Curso:921M05,-31.435355,-64.122828
1M10 - 1 de Mayo (Parada),Cangallo y Junin Cangallo y Junin Entorno: 20 mts. Curso:3561M10,-31.430121,-64.119275
1M06 - 1 de Mayo (Parada),Medrano 5083-5084 Medrano 5083 Entorno: 15 mts. Curso:901M06,-31.435326,-64.120705
1M01 - 1 de Mayo (Parada),Cangallo y Junin Cangallo y Junin Entorno: 20 mts. Curso:01M01,-31.430158,-64.119275
1M11 - 1 de Mayo (Parada),Cangallo 2000 Cangallo 2000 Entorno: 20 mts. Curso:1821M11,-31.432418,-64.119263
1M09 - 1 de Mayo (Parada),Medrano 5392  Entorno: 15 mts. Curso:881M09,-31.435246,-64.11696
1M07 - 1 de Mayo (Parada),Medrano 5117 Medrano 5117 Entorno: 15 mts. Curso:2701M07,-31.435285,-64.11996
1M02 - 1 de Mayo (Parada),Cangallo 2000 Cangallo 2000 Entorno: 20 mts. Curso:01M02,-31.432448,-64.119263
1M12 - 1 de Mayo (Parada),Cangallo 2200 Cangallo 2200 Entorno: 15 mts. Curso:1801M12,-31.434433,-64.119259
1M03 - 1 de Mayo (Parada Terminal),Cangallo 2200 Cangallo 2200 Entorno: 15 mts. Curso:3561M03,-31.434465,-64.119261
1M13 - 1 de Mayo (Parada),Junin 5000 Junin 5000 Entorno: 30 mts. Curso:881M13,-31.429736,-64.121091
2008 - 20 de Junio (Parada),AV. SANTA ANA 6470  Entorno: 15 mts. Curso:2702008,-31.411541,-64.268709
2001 - 20 de Junio (Parada Terminal),20 DE JUNIO LINEA  Entorno: 15 mts. Curso:1802001,-31.403896,-64.269106
2013 - 20 de Junio (Parada),ALTO ALEGRE 750  Entorno: 10 mts. Curso:1802013,-31.409228,-64.263901
2036 - 20 de Junio (Parada),CURUNAO 805  Entorno: 15 mts. Curso:1822036,-31.41045,-64.258651
2010 - 20 de Junio (Parada),CLETO AGUIRRE 5600  Entorno: 15 mts. Curso:2662010,-31.409221,-64.259403
2019 - 20 de Junio (Parada),DR. JOSE CEBALLOS 591  Entorno: 15 mts. Curso:1802019,-31.406715,-64.269126
2015 - 20 de Junio (Parada),ALTO ALEGRE 650  Entorno: 15 mts. Curso:02015,-31.407083,-64.263916
2037 - 20 de Junio (Parada),DR. JOSE CEBALLOS 505  Entorno: 15 mts. Curso:02037,-31.404211,-64.269105
2011 - 20 de Junio (Parada),CLETO AGUIRRE 5930  Entorno: 15 mts. Curso:902011,-31.409234,-64.262705
